Time, Sample
2022-09-17T13:50:06.419542Z, 7953
2022-09-17T13:50:06.444542Z, 7419
2022-09-17T13:50:06.469542Z, 9868
2022-09-17T13:50:06.494542Z, 7818
2022-09-17T13:50:06.519542Z, 8050
2022-09-17T13:50:06.544542Z, 8886
2022-09-17T13:50:06.569542Z, 7869
2022-09-17T13:50:06.594542Z, 9390
2022-09-17T13:50:06.619542Z, 8171
2022-09-17T13:50:06.644542Z, 7884
2022-09-17T13:50:06.669542Z, 9169
2022-09-17T13:50:06.694542Z, 7722
2022-09-17T13:50:06.719542Z, 8491
2022-09-17T13:50:06.744542Z, 8631
2022-09-17T13:50:06.769542Z, 8202
2022-09-17T13:50:06.794542Z, 8733
2022-09-17T13:50:06.819542Z, 7165
2022-09-17T13:50:06.844542Z, 7116
2022-09-17T13:50:06.869542Z, 6956
2022-09-17T13:50:06.894542Z, 7195
2022-09-17T13:50:06.919542Z, 8470
2022-09-17T13:50:06.944542Z, 5903
2022-09-17T13:50:06.969542Z, 7148
2022-09-17T13:50:06.994542Z, 9115
2022-09-17T13:50:07.019542Z, 5720
2022-09-17T13:50:07.044542Z, 7232
2022-09-17T13:50:07.069542Z, 7569
2022-09-17T13:50:07.094542Z, 6277
2022-09-17T13:50:07.119542Z, 8666
2022-09-17T13:50:07.144542Z, 6437
2022-09-17T13:50:07.169542Z, 6367
2022-09-17T13:50:07.194542Z, 7107
2022-09-17T13:50:07.219542Z, 5632
2022-09-17T13:50:07.244542Z, 8367
2022-09-17T13:50:07.269542Z, 6439
2022-09-17T13:50:07.294542Z, 5717
2022-09-17T13:50:07.319542Z, 8454
2022-09-17T13:50:07.344542Z, 5656
2022-09-17T13:50:07.369542Z, 6717
2022-09-17T13:50:07.394542Z, 7478
2022-09-17T13:50:07.419542Z, 5539
2022-09-17T13:50:07.444542Z, 7062
2022-09-17T13:50:07.469542Z, 5787
2022-09-17T13:50:07.494542Z, 6163
2022-09-17T13:50:07.519542Z, 7332
2022-09-17T13:50:07.544542Z, 5826
2022-09-17T13:50:07.569542Z, 6954
2022-09-17T13:50:07.594542Z, 6076
2022-09-17T13:50:07.619542Z, 6237
2022-09-17T13:50:07.644542Z, 7790
2022-09-17T13:50:07.669542Z, 5873
2022-09-17T13:50:07.694542Z, 6457
2022-09-17T13:50:07.719542Z, 7009
2022-09-17T13:50:07.744542Z, 7094
2022-09-17T13:50:07.769542Z, 6682
2022-09-17T13:50:07.794542Z, 4510
2022-09-17T13:50:07.819542Z, 6747
2022-09-17T13:50:07.844542Z, 7337
2022-09-17T13:50:07.869542Z, 5840
2022-09-17T13:50:07.894542Z, 7065
2022-09-17T13:50:07.919542Z, 5339
2022-09-17T13:50:07.944542Z, 5766
2022-09-17T13:50:07.969542Z, 7734
2022-09-17T13:50:07.994542Z, 5804
2022-09-17T13:50:08.019542Z, 6245
2022-09-17T13:50:08.044542Z, 5676
2022-09-17T13:50:08.069542Z, 4512
2022-09-17T13:50:08.094542Z, 5351
2022-09-17T13:50:08.119542Z, 5077
2022-09-17T13:50:08.144542Z, 5428
2022-09-17T13:50:08.169542Z, 5140
2022-09-17T13:50:08.194542Z, 6033
2022-09-17T13:50:08.219542Z, 6044
2022-09-17T13:50:08.244542Z, 3673
2022-09-17T13:50:08.269542Z, 4845
2022-09-17T13:50:08.294542Z, 6277
2022-09-17T13:50:08.319542Z, 5432
2022-09-17T13:50:08.344542Z, 5439
2022-09-17T13:50:08.369542Z, 4814
2022-09-17T13:50:08.394542Z, 4945
2022-09-17T13:50:08.419542Z, 5670
2022-09-17T13:50:08.444542Z, 4277
2022-09-17T13:50:08.469542Z, 5645
2022-09-17T13:50:08.494542Z, 5548
2022-09-17T13:50:08.519542Z, 3486
2022-09-17T13:50:08.544542Z, 6010
2022-09-17T13:50:08.569542Z, 5243
2022-09-17T13:50:08.594542Z, 4704
2022-09-17T13:50:08.619542Z, 6605
2022-09-17T13:50:08.644542Z, 4580
2022-09-17T13:50:08.669542Z, 6124
2022-09-17T13:50:08.694542Z, 6671
2022-09-17T13:50:08.719542Z, 4824
2022-09-17T13:50:08.744542Z, 6875
2022-09-17T13:50:08.769542Z, 5847
2022-09-17T13:50:08.794542Z, 6050
2022-09-17T13:50:08.819542Z, 7361
2022-09-17T13:50:08.844542Z, 6181
2022-09-17T13:50:08.869542Z, 6532
2022-09-17T13:50:08.894542Z, 5423
2022-09-17T13:50:08.919542Z, 6155
2022-09-17T13:50:08.944542Z, 6023
2022-09-17T13:50:08.969542Z, 4921
2022-09-17T13:50:08.994542Z, 6917
2022-09-17T13:50:09.019542Z, 5627
2022-09-17T13:50:09.044542Z, 6125
2022-09-17T13:50:09.069542Z, 6348
2022-09-17T13:50:09.094542Z, 3583
2022-09-17T13:50:09.119542Z, 6394
2022-09-17T13:50:09.144542Z, 6353
2022-09-17T13:50:09.169542Z, 4949
2022-09-17T13:50:09.194542Z, 6991
2022-09-17T13:50:09.219542Z, 4805
2022-09-17T13:50:09.244542Z, 5783
2022-09-17T13:50:09.269542Z, 7259
2022-09-17T13:50:09.294542Z, 5142
2022-09-17T13:50:09.319542Z, 6437
2022-09-17T13:50:09.344542Z, 6262
2022-09-17T13:50:09.369542Z, 5846
2022-09-17T13:50:09.394542Z, 6504
2022-09-17T13:50:09.419542Z, 4967
2022-09-17T13:50:09.444542Z, 5186
2022-09-17T13:50:09.469542Z, 6061
2022-09-17T13:50:09.494542Z, 5766
2022-09-17T13:50:09.519542Z, 5894
2022-09-17T13:50:09.544542Z, 5083
2022-09-17T13:50:09.569542Z, 5878
2022-09-17T13:50:09.594542Z, 6470
2022-09-17T13:50:09.619542Z, 4804
2022-09-17T13:50:09.644542Z, 6882
2022-09-17T13:50:09.669542Z, 6875
2022-09-17T13:50:09.694542Z, 5679
2022-09-17T13:50:09.719542Z, 7016
2022-09-17T13:50:09.744542Z, 5467
2022-09-17T13:50:09.769542Z, 6208
2022-09-17T13:50:09.794542Z, 6502
2022-09-17T13:50:09.819542Z, 5290
2022-09-17T13:50:09.844542Z, 6310
2022-09-17T13:50:09.869542Z, 5437
2022-09-17T13:50:09.894542Z, 6806
2022-09-17T13:50:09.919542Z, 7340
2022-09-17T13:50:09.944542Z, 4594
2022-09-17T13:50:09.969542Z, 7161
2022-09-17T13:50:09.994542Z, 8112
2022-09-17T13:50:10.019542Z, 6099
2022-09-17T13:50:10.044542Z, 6966
2022-09-17T13:50:10.069542Z, 6310
2022-09-17T13:50:10.094542Z, 7584
2022-09-17T13:50:10.119542Z, 8161
2022-09-17T13:50:10.144542Z, 7059
2022-09-17T13:50:10.169542Z, 9188
2022-09-17T13:50:10.194542Z, 7903
2022-09-17T13:50:10.219542Z, 7471
2022-09-17T13:50:10.244542Z, 8554
2022-09-17T13:50:10.269542Z, 6657
2022-09-17T13:50:10.294542Z, 8126
2022-09-17T13:50:10.319542Z, 7867
2022-09-17T13:50:10.344542Z, 7340
2022-09-17T13:50:10.369542Z, 8513
2022-09-17T13:50:10.394542Z, 7079
2022-09-17T13:50:10.419542Z, 9211
2022-09-17T13:50:10.444542Z, 8385
2022-09-17T13:50:10.469542Z, 6542
2022-09-17T13:50:10.494542Z, 8888
2022-09-17T13:50:10.519542Z, 6869
2022-09-17T13:50:10.544542Z, 7370
2022-09-17T13:50:10.569542Z, 9459
2022-09-17T13:50:10.594542Z, 7241
2022-09-17T13:50:10.619542Z, 7850
2022-09-17T13:50:10.644542Z, 8165
2022-09-17T13:50:10.669542Z, 7743
2022-09-17T13:50:10.694542Z, 8473
2022-09-17T13:50:10.719542Z, 7158
2022-09-17T13:50:10.744542Z, 7604
2022-09-17T13:50:10.769542Z, 7195
2022-09-17T13:50:10.794542Z, 6810
2022-09-17T13:50:10.819542Z, 8498
2022-09-17T13:50:10.844542Z, 6772
2022-09-17T13:50:10.869542Z, 7002
2022-09-17T13:50:10.894542Z, 7698
2022-09-17T13:50:10.919542Z, 7014
2022-09-17T13:50:10.944542Z, 8410
2022-09-17T13:50:10.969542Z, 6847
2022-09-17T13:50:10.994542Z, 7819
2022-09-17T13:50:11.019542Z, 9162
2022-09-17T13:50:11.044542Z, 6862
2022-09-17T13:50:11.069542Z, 8225
2022-09-17T13:50:11.094542Z, 6768
2022-09-17T13:50:11.119542Z, 5959
2022-09-17T13:50:11.144542Z, 8171
2022-09-17T13:50:11.169542Z, 5754
2022-09-17T13:50:11.194542Z, 7058
2022-09-17T13:50:11.219542Z, 7679
2022-09-17T13:50:11.244542Z, 5491
2022-09-17T13:50:11.269542Z, 8031
2022-09-17T13:50:11.294542Z, 6520
2022-09-17T13:50:11.319542Z, 5666
2022-09-17T13:50:11.344542Z, 8399
2022-09-17T13:50:11.369542Z, 6296
2022-09-17T13:50:11.394542Z, 6274
2022-09-17T13:50:11.419542Z, 7033
2022-09-17T13:50:11.444542Z, 5871
2022-09-17T13:50:11.469542Z, 6665
2022-09-17T13:50:11.494542Z, 5630
2022-09-17T13:50:11.519542Z, 5937
2022-09-17T13:50:11.544542Z, 7075
2022-09-17T13:50:11.569542Z, 6026
2022-09-17T13:50:11.594542Z, 5842
2022-09-17T13:50:11.619542Z, 5431
2022-09-17T13:50:11.644542Z, 6285
2022-09-17T13:50:11.669542Z, 6601
2022-09-17T13:50:11.694542Z, 5829
2022-09-17T13:50:11.719542Z, 6915
2022-09-17T13:50:11.744542Z, 5974
2022-09-17T13:50:11.769542Z, 6339
2022-09-17T13:50:11.794542Z, 7391
2022-09-17T13:50:11.819542Z, 5499
2022-09-17T13:50:11.844542Z, 6849
2022-09-17T13:50:11.869542Z, 6501
2022-09-17T13:50:11.894542Z, 5626
2022-09-17T13:50:11.919542Z, 7708
2022-09-17T13:50:11.944542Z, 6233
2022-09-17T13:50:11.969542Z, 6933
2022-09-17T13:50:11.994542Z, 7259
2022-09-17T13:50:12.019542Z, 5226
2022-09-17T13:50:12.044542Z, 7730
2022-09-17T13:50:12.069542Z, 6882
2022-09-17T13:50:12.094542Z, 5539
2022-09-17T13:50:12.119542Z, 7715
2022-09-17T13:50:12.144542Z, 5780
2022-09-17T13:50:12.169542Z, 6566
2022-09-17T13:50:12.194542Z, 8106
2022-09-17T13:50:12.219542Z, 6162
2022-09-17T13:50:12.244542Z, 7200
2022-09-17T13:50:12.269542Z, 6743
2022-09-17T13:50:12.294542Z, 6255
